FirstName,Phone,Notes
John,9876543210,Follow up call
Alice,9123456780,Send email
Bob,9988776655,New lead
Mike,9876501234,Call back
Sarah,9123409876,Demo request
David,9876541230,Schedule meeting
Emma,9123456789,Send proposal
Oliver,9988771122,Client feedback
Sophia,9876512345,Check status
Liam,9123423456,Follow up email
Mia,9876549876,Confirm appointment
Noah,9123450000,Call client
Ava,9988773344,Send invoice
Ethan,9876532123,Schedule demo
Isabella,9123412345,Prepare report
Mason,9876541122,Follow up call
Harper,9123434567,Send email
Logan,9988775566,New lead
Ella,9876554321,Call back
Lucas,9123445678,Demo request
Charlotte,9876567890,Schedule meeting
Jackson,9123456781,Send proposal
Amelia,9988777788,Client feedback
Aiden,9876543211,Check status
Lily,9123456782,Follow up email
