firstName,phone,notes
Rahul Sharma,9876543211,Follow up call
Priya Verma,9876543212,Interested in product demo
Amit Kumar,9876543213,Call next week
Sneha Reddy,9876543214,Send pricing details
Vikram Singh,9876543215,Requested callback
Anjali Mehta,9876543216,Hot lead
Rohan Das,9876543217,Needs more information
Kavita Joshi,9876543218,Follow up tomorrow
Arjun Nair,9876543219,Interested in premium plan
Meera Iyer,9876543220,Call in evening
Sanjay Patel,9876543221,Requested brochure
Neha Gupta,9876543222,Schedule meeting
